RUN	AD1	AD2	AD3	AD4	IWS	OWS	RPC
21223	0	0	16	0	67	79	-148
21232	0	-0	16	0	67	79	-163
21241	0	-1	16	0	17	79	-63
21355	0	-1	17	0	67	117	11
21364	0	-1	16	0	-132	79	-363
21373	0	-1	18	0	67	104	11
21375	0	-2	17	0	67	79	0
21396	0	-2	17	0	67	266	-175
21502	0	-0	16	0	67	79	-187
21514	0	1	17	0	67	79	-162
21525	0	1	18	0	67	81	-198
21526	0	-1	17	0	67	80	-200
21527	0	-1	17	0	67	80	-225
21536	0	-0	17	0	67	80	-238
21546	0	-1	17	0	30	80	-50
21644	0	-0	17	0	17	80	-51
21662	0	-1	17	0	29	79	-251
21669	0	-0	17	0	67	79	-226
21670	0	-1	17	0	67	80	-226
21680	0	-1	16	0	67	104	-226
21691	0	-1	16	0	67	79	-176
21807	0	-1	18	0	67	80	-163
21818	0	-1	29	0	217	92	0
21821	0	-1	17	0	67	79	-289
21825	0	-1	17	0	42	80	-26
21836	0	-1	17	0	67	80	-262
21837	0	-0	17	0	67	79	-263
21838	0	-0	16	0	67	80	-263
21842	0	0	17	0	67	80	-50
21846	0	23	43	0	67	80	-187
21852	0	-1	16	0	42	79	-38
21857	0	-1	16	0	54	79	-13
21867	0	-1	17	0	67	79	-226
21963	0	-0	54	0	67	117	-14
21979	0	-1	17	0	30	80	-251
21988	0	-1	17	0	42	80	-226
21995	0	-1	17	0	67	79	0
22003	0	-2	18	0	242	80	-1
22004	0	-0	18	0	67	79	-226
22005	0	-0	17	0	67	92	-26
22014	0	-1	17	0	67	79	-213
22115	0	-1	29	0	67	80	-200
22124	0	11	17	0	54	80	-200
22125	0	0	16	0	42	80	-201
22134	0	0	-147	0	67	-82	-251
22135	0	-1	17	0	229	79	-51
22148	0	0	17	0	67	79	-163
22152	0	-0	17	0	67	79	-188
22254	0	-0	17	0	67	104	-175
22263	0	0	18	0	67	80	-150
22272	0	-1	16	0	67	79	-187
22273	0	-1	17	0	67	79	-214
22274	0	-1	17	0	67	79	-213
22284	0	-0	17	0	54	79	-14
22386	0	-0	17	0	67	79	-151
22390	0	-1	16	0	92	79	-138
22391	0	-1	17	0	67	79	-162
22392	0	16	0	0	69	79	-350
22393	0	1	17	0	67	79	-150
22402	0	-1	17	0	67	79	-151
22411	0	-1	18	0	67	79	-189
22513	0	-1	17	0	42	79	-202
22522	0	-1	17	0	67	79	-188
22531	0	23	41	0	92	79	-87
22539	0	0	18	0	67	79	-126
22640	0	-1	17	0	67	79	-176
22649	0	-0	16	0	67	79	-151
22658	0	-1	16	0	79	79	-163
22667	0	-2	17	0	67	79	-151
22764	0	-0	17	0	67	79	-313
22765	0	-0	17	0	67	79	-312
22774	0	-0	18	0	117	79	-275
22783	0	1	16	0	117	79	-61
22785	0	-0	17	0	67	79	-75
22795	0	-0	17	0	67	80	-62
22918	0	0	17	0	67	79	-341
22933	0	-0	17	0	67	79	-116
22950	0	-1	17	0	67	79	-41
22952	0	-1	16	0	67	79	-41
22955	0	-3	15	0	67	79	-41
22959	0	1	14	0	67	79	-44
22960	0	-0	17	0	67	79	-44
22965	0	1	17	0	67	80	-40
22966	0	-2	17	0	67	79	-45
22971	0	0	17	0	67	79	-47
22975	0	-1	17	0	67	79	-48
22977	0	1	18	0	67	79	-49
22980	0	-4	18	0	67	79	-253
22982	0	-1	17	0	67	80	-45
22984	0	-0	29	0	129	79	-41
22986	0	0	17	0	67	79	-44
22988	0	-0	17	0	67	79	-46
22990	0	-1	16	0	67	79	-48
22992	0	-0	17	0	67	79	-50
22994	0	-0	17	0	67	79	-53
23096	0	-1	16	0	67	79	-66
23103	0	-1	17	0	155	79	-128
23117	0	-0	17	0	67	-8	-202
23127	0	-1	17	0	67	79	-178
23136	0	-1	17	0	67	79	-191
