RUN	AD1	AD2	AD3	AD4	IWS	OWS	RPC
21222	0	0	0	0	60	69	-302
21229	0	0	0	0	-27	69	-189
21238	0	0	0	0	10	69	-101
21341	0	0	0	0	210	69	-102
21353	0	0	0	0	234	69	-65
21361	0	0	0	0	47	69	-214
21370	0	0	0	0	84	69	-165
21397	0	0	0	0	59	69	-202
21500	0	0	0	0	59	69	-227
21511	0	0	0	0	60	69	-214
21519	0	0	0	0	47	69	-226
21534	0	0	0	0	22	31	-102
21543	0	0	0	0	59	69	-77
21647	0	0	0	0	22	32	-302
21663	0	0	0	0	22	69	-290
21664	0	0	0	0	34	44	-264
21679	0	0	0	0	59	69	-65
21692	0	0	0	0	47	69	-214
21695	0	0	0	0	47	69	-202
21786	0	0	0	0	72	69	-202
21813	0	0	0	0	9	69	-114
21826	0	0	0	0	59	69	-239
21832	0	0	0	0	22	69	-289
21833	0	0	0	0	222	69	-76
21851	0	0	0	0	34	69	-252
21853	0	0	0	0	22	68	-263
21856	0	0	0	0	34	44	-252
21864	0	0	0	0	22	69	-277
21874	0	0	0	0	22	31	-277
21952	0	0	0	0	22	31	-290
21975	0	0	0	0	222	231	-77
21985	0	0	0	0	34	69	-264
21998	0	0	0	0	34	44	-239
22011	0	0	0	0	34	44	-51
22103	0	0	0	0	34	44	-239
22121	0	0	0	0	47	69	-239
22131	0	0	0	0	60	69	-77
22149	0	0	0	0	47	69	-227
22151	0	0	0	0	59	69	-214
22232	0	0	0	0	47	69	-214
22262	0	0	0	0	59	69	-189
22269	0	0	0	0	59	69	-227
22281	0	0	0	0	60	69	-251
22380	0	0	0	0	72	69	-189
22387	0	0	0	0	72	81	-188
22399	0	0	0	0	72	69	-175
22408	0	0	0	0	59	69	-214
22492	0	0	0	0	59	69	-227
22519	0	0	0	0	47	69	-227
22530	0	0	0	0	60	69	-151
22540	0	0	0	0	84	94	-151
22639	0	0	0	0	59	69	-189
22648	0	0	0	0	84	69	-177
22655	0	0	0	0	59	69	-189
22664	0	0	0	0	72	81	-176
22763	0	0	0	0	-114	-105	-339
22771	0	0	0	0	97	106	-263
22782	0	0	0	0	109	69	0
22784	0	0	0	0	110	119	-301
22786	0	0	0	0	122	131	-313
22798	0	0	0	0	60	69	-301
22914	0	0	0	0	60	69	-167
22935	0	0	0	0	97	69	-155
22951	0	0	0	0	135	144	-280
22956	0	0	0	0	135	144	-281
22958	0	0	0	0	135	144	-282
22961	0	0	0	0	135	144	-284
22964	0	0	0	0	135	144	-278
22967	0	0	0	0	134	144	-285
22969	0	0	0	0	60	69	-297
22972	0	0	0	0	60	69	-299
22974	0	0	0	0	-89	-80	-299
22976	0	0	0	0	-89	-80	-300
22978	0	0	0	0	-89	-80	-301
22979	0	0	0	0	-90	-80	-270
22981	0	0	0	0	-90	-80	-270
22983	0	0	0	0	-90	-80	-277
22985	0	0	0	0	-90	-80	-281
22987	0	0	0	0	-89	-80	-284
22989	0	0	0	0	-90	-80	-287
22991	0	0	0	0	-89	-80	-289
22993	0	0	0	0	-89	-80	-293
23080	0	0	0	0	-77	-68	-293
23093	0	0	0	0	110	69	-105
23104	0	0	0	0	147	69	-242
23106	0	0	0	0	147	70	0
23107	0	0	0	0	160	81	-242
23114	0	0	0	0	160	169	-229
23124	0	0	0	0	60	69	-217
23133	0	0	0	0	60	69	-116
